num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_power,prom_abs_power,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,nominal_speed,max_current,max_jerk,max_acc,max_power,min_power,max_speed,mean_speed,std_speed,iqr_power,mean_soc,mean_temp,travel_time,idle_time,traffic_factor,user_id,vehicle_id,speed_ind,test_id,end_time,mass,lights,end_odometer,highway_enc,slope_cat,cumdist1
0.0,0.0,1.0,1.0,0.05842105263157895,0.16723679034327743,0.0,0.0,1.0,1.0,0.05459459459459459,0.1501778833246864,5.437041805383724,2.7406578947368425,0.1999999999999993,0.5032570985999999,0.39741118517031354,0.0,0.0,1.0,1.0,7.3355263157894735,14.566349594612419,2.1875435498862967,primary,0.6762684210526316,60.0,52.25,0.6,0.75,19.515,0.282,47.0,7.368421052631579,15.567207525388238,0.07150000000000006,81.0,35.94736842105263,272.0,0.7757352941176471,0.4733296604811475,Santiago_Echavarria_FSV110,FSV110,1.2765957446808511,0,2020-08-11 12:01:34,1624,0,2462.0,1,"(0.0, 2.5]",
0.0,0.0,1.0,1.0,0.34,0.3994696484089874,0.0,0.0,1.0,1.0,0.4675,0.5001187359017857,16.21372334042986,19.6064,0.1999999999999993,0.5272201,0.3793482077030054,0.0,0.0,1.0,1.0,52.95,43.833035486947516,21.921722298470304,primary,3.149128,60.0,97.5,0.6,0.68,35.977,-11.688,56.0,49.4,6.590902821313632,17.211,80.6,34.2,38.0,0.0,7.495179543574896,Santiago_Echavarria_FSV110,FSV110,1.0714285714285714,0,2020-08-11 12:02:18,1624,0,2462.0,1,"(2.5, 5.0]",
0.0,0.0,1.0,1.0,0.4266666666666666,0.4525728916121935,0.0,0.0,1.0,1.0,0.515,0.355,19.990079445120326,23.13733333333333,0.10000000000000142,0.515202,0.1940986253935377,0.0,0.0,1.0,1.0,62.5,53.86557342124931,19.122278564543503,primary,3.076686666666667,60.0,78.0,-0.15999999999999998,0.41,28.743,-15.208,67.0,60.0,6.164414002968976,21.975499999999997,80.0,33.0,13.0,0.0,9.733285267845753,Santiago_Echavarria_FSV110,FSV110,0.8955223880597015,0,2020-08-11 12:02:31,1624,0,2463.0,1,"(2.5, 5.0]",
0.0,0.0,1.0,1.0,0.11200000000000002,0.12016655108639841,0.0,0.0,1.0,1.0,0.11750000000000002,0.15927570436196478,2.9844248625153895,22.293799999999997,0.1999999999999993,0.566462,0.3530686965762916,0.0,0.0,1.0,1.0,60.45,8.093824806604106,1.2891496470542123,primary,4.794656,60.0,73.0,0.15,0.19,26.901,18.265,58.0,53.4,3.006659275674582,3.5660000000000025,79.8,32.4,29.0,0.0,17.760575809847637,Santiago_Echavarria_FSV110,FSV110,1.0344827586206897,0,2020-08-11 12:03:07,1624,0,2463.0,1,"(2.5, 5.0]",
0.0,0.0,1.0,1.0,0.27999999999999997,0.29004310024546354,0.0,0.0,1.0,1.0,0.3233333333333333,0.40334710720282707,3.3762611254907404,22.752250000000004,0.0,0.5175234,0.0,0.0,0.0,1.0,1.0,61.8125,9.228649345922728,3.7223490170671942,primary,2.5625374999999995,60.0,75.0,0.69,0.44,27.563,18.4,65.0,53.25,7.660776723022281,4.248250000000006,79.0,31.0,23.0,0.0,6.95099229820552,Santiago_Echavarria_FSV110,FSV110,0.9230769230769231,0,2020-08-11 12:03:37,1624,0,2463.0,1,"(2.5, 5.0]",
0.0,0.0,1.0,1.0,0.2575,0.2698494950893924,0.0,0.0,1.0,1.0,0.41,0.4525728916121935,7.718876160912288,19.204250000000002,0.10000000000000142,0.5820491,0.17180681148721202,1.8181818181818181,0.0,1.2416666666666667,1.0,52.125,20.97952871253308,9.494765974092136,primary,1.91394,60.0,74.5,0.36,0.12,27.416,7.922999999999999,68.0,54.25,8.554969316134336,11.489749999999997,79.0,30.25,33.0,0.0,6.3413436092268185,Santiago_Echavarria_FSV110,FSV110,0.8823529411764706,0,2020-08-11 12:04:14,1624,0,2464.0,1,"(0.0, 2.5]",
0.0,0.0,1.0,1.0,0.075,0.08770214744615246,0.0,0.0,1.0,1.0,0.15999999999999998,0.16540858502508266,3.0371886488805546,18.627666666666666,0.29999999999999716,0.7259521,0.4132504059152073,1.3953488372093024,0.0,1.0166666666666666,1.0,50.666666666666664,8.338748240726675,1.3793005473789965,primary,3.5953666666666666,60.0,61.0,0.19,0.16,22.357,13.1,64.0,53.166666666666664,5.273097339852125,3.386249999999997,78.16666666666667,30.0,43.0,0.0,10.082625682794172,Santiago_Echavarria_FSV110,FSV110,0.9375,0,2020-08-11 12:04:59,1624,0,2465.0,1,"(2.5, 5.0]",
0.0,0.0,1.0,1.0,0.2525,0.28261059781968545,0.0,0.0,1.0,1.0,0.26666666666666666,0.2075786330258702,11.54453958588215,17.0435,0.09999999999999787,0.594073,0.1683294813936972,0.0,0.0,1.0,1.0,46.0625,31.003213039135154,6.435604582073511,primary,2.0020875,60.0,85.75,0.08000000000000002,0.4,31.985,0.926,65.0,59.5,5.894913061275798,15.218999999999998,78.0,29.75,20.0,0.0,10.093448263191656,Santiago_Echavarria_FSV110,FSV110,0.9230769230769231,0,2020-08-11 12:05:19,1624,1,2465.0,1,"(0.0, 2.5]",
0.0,0.0,1.0,1.0,0.2816666666666667,0.3110064308016798,0.0,0.0,1.0,1.0,0.568,0.5890806396411276,15.25160255423089,25.238166666666668,0.10000000000000142,0.5285904,0.18918239907497642,1.7142857142857142,0.0,1.4416666666666667,1.0,68.875,41.640512624926544,24.529619812076177,primary,4.350891666666667,52.5,113.0,0.8200000000000001,0.43,41.188,-6.909,55.0,47.5,4.7871355387816905,12.303000000000004,77.5,29.166666666666668,35.0,0.0,9.922426389474778,Santiago_Echavarria_FSV110,FSV110,0.9545454545454546,0,2020-08-11 12:06:01,1624,1,2466.0,1,"(2.5, 5.0]",
0.0,0.0,1.0,1.0,0.29000000000000004,0.37446257786622983,0.0,0.0,1.0,1.0,0.38,0.40046972419897114,4.754101130135491,22.25566666666667,0.1999999999999993,0.5597301,0.35731507024546166,1.7142857142857142,0.0,1.1416666666666666,1.0,60.833333333333336,13.118583087445923,5.253595350910756,primary,4.1459383333333335,45.0,82.75,0.5800000000000001,0.67,30.204,14.752,59.0,50.5,6.13052471924984,4.474000000000004,77.0,28.5,35.0,0.0,8.237467804579607,Santiago_Echavarria_FSV110,FSV110,0.7627118644067796,0,2020-08-11 12:06:50,1624,0,2466.0,1,"(2.5, 5.0]",
