,num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_pot,prom_abs_pot,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,nominal_speed,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,iqr_pot,mean_soc,travel_time,idle_time,traffic_factor,user_id,vehicle_id,speed_ind,passengers,nominal_speed_2,highway_enc,slope_cat,mean_max_pot,mean_std_pot,mean_max_pot_usr,mean_std_pot_usr
0,0.016844469399213923,0.016844469399213923,1.02,1.03,0.02232456140350877,0.12513030296789496,0.0,0.016844469399213923,1.0,1.14,0.02457142857142857,0.1376011292264727,0.02541763226199339,0.003122099933291114,0.6000000000000014,1.2210758185266002,0.49136997956767814,0.0,0.0,1.0,1.0,2.0021929824561404,8.739608697523385,1.20258002577672,primary,0.1424864216754386,60.0,52.25,1.03,1.02,0.2973868360417911,50.0,1.381578947368421,7.222589633621526,0.0,81.8201754385965,3562.0,0.9505895564289725,0.19128581540021325,Juan,FSV110,1.2,0,3600.0,0,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
1,0.0,0.14423076923076922,1.0,1.14,0.078715,0.2250855552093223,0.0,0.0,1.0,1.0,0.09955084745762711,0.2559271198058374,0.12569667748361665,0.07278370739715787,0.40000000000000213,1.2570012437959972,0.31821766444084715,0.28846153846153844,0.0,1.04375,1.0,13.033333333333333,22.539793514286387,5.768544435129608,primary,1.2063355,60.0,68.5,0.78,0.7135,0.38048447462420915,51.0,10.833333333333334,18.74670341390424,0.008137564460482524,76.05,416.0,0.7115384615384616,0.5778793793312141,Juan,FSV110,1.1764705882352942,0,3600.0,0,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
2,0.5581395348837209,0.0,2.37,1.0,0.4609677419354838,0.8330104126327776,0.27906976744186046,0.5581395348837209,2.526666666666667,1.343333333333333,0.5106666666666667,1.0036457985210165,0.19444653627509637,0.08732913277571468,0.0,1.38569733192,0.0,0.27906976744186046,0.0,2.725,1.0,14.725806451612904,33.12455014125254,33.245315577166856,primary,-0.596579677419355,50.0,163.5,3.79,3.42,0.9530246138466603,67.0,17.419354838709676,24.47220173274736,0.0030096797395979384,99.0,215.0,0.4697674418604651,0.7118017017406345,Juan,FSV110,0.746268656716418,0,2500.0,0,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
3,0.0,0.0,1.0,1.0,0.49500000000000005,0.4370163993871779,0.0,0.0,1.0,1.0,0.519090909090909,0.6229269752779419,0.2834513586160978,0.3620517736030006,0.0,1.2312442999999997,0.0,2.4324324324324325,0.0,1.6416666666666666,1.0,61.416666666666664,48.10473960247807,29.96573993710469,primary,-1.0413933333333336,50.0,115.0,1.19,1.07,0.6738330062052739,77.0,66.16666666666667,7.808471183414985,0.3430120570056201,99.0,74.0,0.0,8.473703124781093,Juan,FSV110,0.6493506493506493,0,2500.0,0,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
4,0.0,0.0,1.0,1.0,0.4658333333333333,0.5624419723155645,0.8695652173913043,0.0,1.1466666666666667,1.0,0.5563636363636365,0.7408605672900193,0.31897312387674187,0.27626701167501766,0.10000000000000142,1.3025915,0.0767700388034172,1.7391304347826086,0.0,1.30625,1.0,46.333333333333336,53.55802279356058,39.67902714976908,residential,-0.4018640833333333,31.5,88.25,1.72,0.98,0.5238061857681008,81.0,52.5,18.09926333675858,0.2936533092762139,99.0,69.0,0.0,2.900670542395804,Juan,FSV110,0.3888888888888889,0,992.25,1,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
5,0.0,0.0,1.0,1.0,0.5825,0.6360571908248503,0.0,0.0,1.0,1.0,0.5971428571428571,0.6138137721970528,0.346500026393146,0.2917522584027211,0.20000000000000284,1.3034539,0.15343849138047985,0.0,0.0,1.0,1.0,48.84375,57.97755997743869,35.58742479253252,trunk,-0.088176,60.0,112.5,0.95,0.64,0.6728881953503116,80.0,69.0,7.176350047203662,0.33468019676448,99.0,42.0,0.0,9.614915597224323,Juan,FSV110,0.75,0,3600.0,4,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
6,0.0,1.0,1.0,2.32,1.4625,1.1171699736387477,0.0,1.0,1.0,1.8333333333333333,1.3999999999999997,1.710990616248052,0.512572586692166,0.6175558047959818,0.5,1.2055350999999999,0.4147535812105347,1.0,0.0,1.5208333333333333,1.0,104.625,86.75576349730316,148.43829724932098,primary,1.311605,60.0,91.25,1.33,0.43,0.5402337035366404,66.0,56.5,6.103277807866851,0.31255714581784044,93.5,60.0,0.0,9.257320701865158,Juan,FSV110,0.9090909090909091,0,3600.0,0,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
7,0.0,0.0,1.0,1.0,0.2875,0.3173621748097905,0.0,0.0,1.0,1.0,0.5233333333333333,0.6126626768096418,0.17366380847774393,0.17813494337230426,0.0,1.3362817,0.0,0.0,0.0,1.0,1.0,31.375,30.52278861768695,18.70017337820695,trunk,0.465341,65.0,40.25,0.64,0.11,0.22908615455886475,63.0,56.5,4.6097722286464435,0.11743084594097067,76.0,18.0,0.0,12.256570866754075,Juan,FSV110,1.0317460317460319,0,4225.0,4,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
8,0.5042016806722689,0.0,1.16,1.0,0.4431578947368421,0.5452509651146422,0.5042016806722689,0.5042016806722689,1.2666666666666666,1.0599999999999998,0.6794444444444445,0.8531367322713382,0.1632218764323796,0.14661571639120108,0.1999999999999993,1.2773625000000002,0.15657262523363513,0.5042016806722689,0.0,1.5291666666666666,1.0,27.19736842105263,30.390720855672768,25.927440282179074,residential,0.6370396842105261,31.5,91.75,1.9,1.16,0.48726334011971667,54.0,35.26315789473684,9.49704721569681,0.19537012203298912,59.8421052631579,119.0,0.0,3.7130654501173335,Juan,FSV110,0.5833333333333334,0,992.25,1,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
9,0.5084745762711864,0.5084745762711864,1.37,1.13,0.37222222222222223,0.5273998646984568,0.5084745762711864,0.0,1.6666666666666667,1.0,0.5694117647058823,0.8585970692563771,0.2538598044951688,0.2098623014373316,0.1999999999999993,1.2283745000000001,0.16281679569219262,1.0169491525423728,0.0,1.4166666666666667,1.0,38.791666666666664,47.0327017997079,40.38213992443834,residential,-0.796971722222222,31.5,97.75,2.5,1.37,0.5243395467346118,54.0,36.77777777777778,12.425580941283794,0.2702959086642203,59.0,118.0,0.0,2.9598437249387834,Juan,FSV110,0.5833333333333334,0,992.25,1,"(-1.7, 1.7]",0.4186628174817737,0.20060810175167884,0.4918746536188007,0.24760450503711606
