,elevation,location,resolution,end_location,end_elevation,slope,kms,mean_speed,end_lat,end_lng,travel_time,id,mass,user_id,slope_cat,mean_max_power,mean_min_power,mean_consumption_per_km,mean_max_power_usr,mean_min_power_usr,mean_consumption_per_km_usr,mean_soc,consumption_per_km,consumptionWh
0,1500.335327148438,"{'lat': 6.1998, 'lng': -75.57945}",9.543951988220215,"{'lat': 6.200053842156232, 'lng': -75.57939829144124}",1500.77294921875,0.8751396234864289,0.028649083023848165,37.96363636363636,6.200053842156232,-75.57939829144124,2.7167233901924983,0,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,254.58528892756397,7.293635079136153
1,1497.64599609375,"{'lat': 6.20271, 'lng': -75.57911}",9.543951988220215,"{'lat': 6.202907887158254, 'lng': -75.57874018808329}",1498.289672851562,0.7945856197708144,0.04641110577685596,20.8125,6.202907887158254,-75.57874018808329,8.027866945185897,8,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,230.32966759583007,10.689854566338143
2,1498.289672851562,"{'lat': 6.202907887158254, 'lng': -75.57874018808329}",9.543951988220215,"{'lat': 6.203092147928246, 'lng': -75.57836496451512}",1498.704833984375,0.5142238288541563,0.046256786867745876,20.8125,6.203092147928246,-75.57836496451512,8.001173944691178,9,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,211.69177645927246,9.79218138533107
3,1498.704833984375,"{'lat': 6.203092147928246, 'lng': -75.57836496451512}",9.543951988220215,"{'lat': 6.203085748778913, 'lng': -75.5779534138033}",1498.716918945312,0.015200368826189314,0.0455526605272592,20.8125,6.203085748778913,-75.5779534138033,7.879379118228618,10,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,178.51769488353327,8.131955953138428
4,1497.916870117188,"{'lat': 6.20292, 'lng': -75.57757}",9.543951988220215,"{'lat': 6.202595796637437, 'lng': -75.57676600419794}",1500.594970703125,1.5991000419417631,0.09593146971596872,20.686567164179106,6.202595796637437,-75.57676600419794,16.694567457064686,12,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,283.6733993678358,27.21320612068144
5,1500.594970703125,"{'lat': 6.202595796637437, 'lng': -75.57676600419794}",9.543951988220215,"{'lat': 6.202269546011523, 'lng': -75.57595909202279}",1506.212646484375,3.338037050765225,0.09631554809935651,20.686567164179106,6.202269546011523,-75.57595909202279,16.761407071836064,13,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,399.27445384040186,38.45633786370953
6,1506.212646484375,"{'lat': 6.202269546011523, 'lng': -75.57595909202279}",9.543951988220215,"{'lat': 6.201631456953359, 'lng': -75.57557373292737}",1513.046997070312,4.738377207172352,0.08245150297720515,20.686567164179106,6.201631456953359,-75.57557373292737,14.348703115513622,14,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,492.36626675803484,40.59633870947549
7,1513.046997070312,"{'lat': 6.201631456953359, 'lng': -75.57557373292737}",9.543951988220215,"{'lat': 6.200809999999999, 'lng': -75.57584999999997}",1517.7373046875,2.801466582733316,0.09585002496256556,20.686567164179106,6.200809999999999,-75.57584999999997,16.680393954524394,15,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,363.6043222665766,34.8514833657481
8,1517.7373046875,"{'lat': 6.20081, 'lng': -75.57585}",9.543951988220215,"{'lat': 6.200493911025462, 'lng': -75.57596853338563}",1518.18896484375,0.6930843920093424,0.03733594173902007,36.0,6.200493911025462,-75.57596853338563,3.7335941739020075,16,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,240.31869397670292,8.972524757111573
9,1514.220947265625,"{'lat': 6.19956, 'lng': -75.57636}",9.543951988220215,"{'lat': 6.199127481611885, 'lng': -75.57636874080585}",1514.93359375,0.8534268827972101,0.047840789790103214,32.56363636363636,6.199127481611885,-75.57636874080585,5.288931534584275,20,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,247.1910693520261,11.825815986861105
10,1514.93359375,"{'lat': 6.199127481611885, 'lng': -75.57636874080585}",9.543951988220215,"{'lat': 6.198745610885201, 'lng': -75.5761364887073}",1516.634155273438,1.9700934657577907,0.0494375508400868,32.56363636363636,6.198745610885201,-75.5761364887073,5.465457881818642,21,1604,Santiago_Echavarria_01,"(0.0, 5.0]",32.96568354430381,-14.210619620253155,215.49834486982948,45.904058823529404,-20.468647058823528,234.40345008777157,50,321.42483045407954,15.890456396839838
