id;timestamp;placa;operative_state;latitude;longitude;elevation;slope;speed;odometer;user_id;batt_temp;ext_temp;power_kw;acceleration;capacity;vehicle_id;soc;soh;voltage;current;throttle;regen_brake;consumption;range_est;range_ideal;range_full;drivetime;charge_time;footbrake;engine_temp;is_charging;tpms;ocv;coulomb;energy;occupants;rpm;station_id;sensor_data;charger_type;coulomb_rec;drivemode;energy_rec;mass;mec_power;mean_acc;mec_power_delta_e;friction_force;net_force;run;en_pot;mean_speed;freeram;net_signal;tasks;elevation2;mean_acc_server;charge_current;eff;angle_x;angle_y;q_loss;ilumination;AcX;AcY;AcZ;humidity;kwh_km
32325;"2021-03-05 11:49:17";NULL;4;6.20481;-75.5787;1496.22;0;0;474;Santiago_Echavarria;23;30.5;0;0;27.92;FVQ731;97;95;392.5;-0.05;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;155.39;155.39;0.00155762;24.2039;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32326;"2021-03-05 11:49:47";NULL;4;6.20481;-75.5787;1496.22;0;0;474;Santiago_Echavarria;23;30.5;0;0;27.92;FVQ731;97;95;392.5;-0.16;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;155.39;155.39;0.00155762;24.2039;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32327;"2021-03-05 11:50:18";NULL;4;6.20482;-75.5787;1496.16;-2.85783;0;474;Santiago_Echavarria;23;30.5;0;0;27.92;FVQ731;97;95;392.5;-0.02;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;-0;0;NULL;155.197;-619.546;1.10725;-857.834;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32328;"2021-03-05 11:50:48";NULL;4;6.20482;-75.5787;1496.16;0;0;474;Santiago_Echavarria;23;30.5;0;0;27.92;FVQ731;97;95;392.5;-0.03;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;155.39;155.39;0.00479492;74.5085;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32329;"2021-03-05 11:51:17";NULL;4;6.20482;-75.5787;1496.16;0;0;474;Santiago_Echavarria;23;30.5;0;0;27.92;FVQ731;97;95;392.5;-0.08;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;155.39;155.39;0.00479492;74.5085;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32330;"2021-03-05 11:51:47";NULL;4;6.20482;-75.5787;1496.16;0;0;474;Santiago_Echavarria;23;30.5;-0.1963;0;27.92;FVQ731;97;95;392.5;-0.06;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;155.39;155.39;0.00479492;74.5085;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32331;"2021-03-05 11:52:21";NULL;4;6.20481;-75.5787;1496.22;3.18604;0;474;Santiago_Echavarria;23;30.5;-0.1963;0;27.92;FVQ731;97;95;392.5;0;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;-0.18;NULL;155.15;733.663;1.10758;956.546;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32332;"2021-03-05 11:53:18";NULL;4;6.20481;-75.5787;1496.22;0;0;474;Santiago_Echavarria;23;30.5;0;0;27.92;FVQ731;97;95;392.5;0;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;186.782;186.782;0.00155762;29.0935;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32333;"2021-03-05 11:53:34";NULL;1;6.20481;-75.5787;1496.22;0;0;474;Santiago_Echavarria;23;30.5;0.5887;0;27.92;FVQ731;97;95;392.5;0.67;0;0;1.00559;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;182;NULL;NULL;;NULL;0;0;1609;0.00499787;0.02;NULL;186.824;224.904;0.00155762;29.0935;0.08;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32334;"2021-03-05 11:53:37";NULL;4;6.20482;-75.5787;1496.16;-2.85783;0;474;Santiago_Echavarria;23;30.5;0.5887;0;27.92;FVQ731;97;95;392.5;1.13;0;0;0.970407;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;45;NULL;NULL;;NULL;0;0;1609;-0.203875;-0.13;NULL;186.95;-991.826;1.10725;-1031.13;0.74;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
