id,distance,time,end_lat,end_lng,elevation
0,171,15,6.200823199999999,-75.5792725,1499.509155273438
1,211,14,6.2027052,-75.5791095,1497.64599609375
2,185,31,6.202918299999999,-75.57757389999999,1497.916870117188
3,385,62,6.200812699999999,-75.5758482,1517.7373046875
4,150,14,6.199564899999999,-75.57636049999999,1514.220947265625
5,199,20,6.1981191,-75.5755224,1521.93310546875
6,225,32,6.1962044,-75.5751665,1540.2275390625
7,148,25,6.1951261,-75.5743925,1555.1259765625
8,1511,168,6.1880969,-75.56442659999999,1710.388549804688
9,536,74,6.187006299999999,-75.5601688,1783.295166015625
10,829,108,6.1851937,-75.5532515,1914.215454101562
11,1717,191,6.1846443,-75.5456225,2125.3984375
12,5198,456,6.1534489,-75.54120859999999,2513.04931640625
13,22,24,6.1532564,-75.5412202,2512.576904296875
14,94,107,6.153676,-75.5419359,2514.06591796875
