,time,cap
0,0.0,40.0
1,1.8608333333333333,40.0
2,1.9055986324993053,39.87969249412161
3,4.566987521388194,39.87969249412161
4,6.940876410277084,39.87969249412161
5,9.669209743610416,39.87969249412161
6,9.714099172726941,39.77348592036263
7,9.744312435578282,39.140969652855816
8,9.768201673126319,39.10835821965138
9,11.727646117570762,39.10835821965138
10,13.01403500645965,39.10835821965138
11,14.441257228681874,39.10835821965138
12,17.272368339792983,39.10835821965138
13,19.359035006459653,39.10835821965138
14,20.671812784237428,39.10835821965138
15,20.902551332323394,39.165794485086344
16,20.941982065101577,38.971691696730005
17,23.10781539843491,38.971691696730005
18,25.076148731768242,38.971691696730005
19,25.133064615589962,38.03555191407283
20,25.143086921961334,37.879984433790376
21,25.149922695834043,37.86571413179827
22,27.474367140278485,37.86571413179827
23,27.476655034307928,37.85703863736094
24,27.480797328982067,37.808622458390204
25,27.512226025841453,37.633233597258794
26,27.531061270742963,37.58535186313369
27,28.226894604076296,37.58535186313369
28,30.34800571518741,37.58535186313369
29,31.037450159631852,37.58535186313369
30,31.075507279027676,37.54560294344173
31,31.082217668961697,37.436616031418026
32,31.146343034282435,36.68596740481218
33,31.180699466018705,36.205949952056805
34,31.209387292386484,36.02133715989675
35,31.214732688920403,35.9379320003716
36,31.21770114306116,35.90904125981317
37,31.252568175534,35.6806603682651
38,31.277289933274414,35.525609917251174
39,31.27949439428072,35.50563154597061
40,31.295117547983327,35.37676951678797
41,31.312286952515837,35.31590508273222
42,31.32530836819859,35.182054822512036
43,31.336508332879845,35.02599575622267
44,31.359134603371498,34.821524565829584
45,31.363357966504772,34.779252572389474
46,31.36740735202249,34.755310217174475
47,31.370938272394685,34.74084714592472
48,33.83399382795024,34.74084714592472
49,33.85777414910306,34.723604273415376
50,33.87262997918961,34.68883708363736
51,33.873251691305434,34.68782440336332
52,33.87412298221928,34.67865445117019
53,33.87815949744708,34.597245153930544
54,33.9033053092826,34.527890327376134
55,33.91777729374508,34.35120913329395
56,33.920805587052655,34.32431127507902
57,33.93238955465272,34.272516078775375
58,33.943920910737255,34.19478059578948
59,33.95872805972705,34.01992692107295
60,33.9620904218599,33.993930892777186
61,33.996998219591816,33.65366439525532
62,34.05622522180488,33.57641755947242
63,34.06764024514777,33.54572086537362
64,36.67736246736999,33.54572086537362
65,39.064306911814434,33.54572086537362
66,41.15708468959221,33.54572086537362
67,42.35375135625888,33.54572086537362
68,44.6259735784811,33.54572086537362
69,44.69464025028035,33.374097305896406
70,44.714359940115195,33.24305087681351
71,44.76030057171603,32.52571222986493
72,44.783671085455346,32.147526803352214
73,44.78451522530149,32.13565458952772
74,44.79618352104681,32.080785853183535
75,44.81190356775484,32.02324841848057
76,44.82836234536127,32.00318306944255
77,47.584195678694606,32.00318306944255
78,50.18697345647238,32.00318306944255
79,50.340410230553346,31.925739320435177
80,52.57402134166446,31.925739320435177
81,53.925965786108904,31.925739320435177
82,55.509576897220015,31.925739320435177
83,55.52275243631395,31.89785550705007
84,56.45219688075839,31.89785550705007
85,56.45707701098211,31.856333290560126
86,56.46037038059225,31.826764256781928
87,56.46381477654418,31.78721720351906
88,56.516911737524026,31.28105069554148
89,56.546325527261246,31.072344876575844
90,56.564092653650846,31.02080459344666
91,56.56539889481855,31.018147255885903
92,56.570881033774796,30.980430036840172
93,59.02754770044146,30.980430036840172
94,61.460603255997015,30.980430036840172
95,63.095881033774795,30.980430036840172
96,65.84282547821924,30.980430036840172
97,66.79115881155258,30.980430036840172
98,67.47643658933035,30.980430036840172
99,69.82199214488591,30.980430036840172
100,69.82257950712615,30.978812769954335
101,71.59369061823726,30.978812769954335
102,73.08369061823727,30.978812769954335
103,73.1616176791035,30.55668504125344
104,73.1755588991837,30.517850548480023
105,73.17691881291118,30.487954184514713
106,73.19904664396053,30.400640681012327
107,73.20063575969245,30.38957982904128
108,73.59434403328989,30.49226293541209
109,73.64547515985991,30.460368861078575
110,73.66912616604075,30.26315813375964
111,73.69627559056546,29.62426842824136
112,73.7309160484273,28.78399068363865
113,73.73160650707413,28.77992625613991
114,73.73995702314966,28.660286957067484
115,73.7492722229448,28.65203312559989
116,73.76028224500011,28.605611091314596
117,73.76421370232983,28.5570098018875
118,73.76895349827667,28.52075692986364
119,73.78198865975484,28.331685945890545
120,73.80659644936247,28.184088879946273
121,73.80989104907724,28.180479720824476
122,73.85590980345836,27.867210855581984
123,75.02646535901391,27.867210855581984
124,77.24507647012503,27.867210855581984
125,77.25083538742214,27.859942461360816
126,77.25717982118502,27.810378724150333
127,78.96634648785168,27.810378724150333
128,81.65551315451835,27.810378724150333
129,81.65981217951534,27.780434142982887
130,81.68996834051917,27.554316355350608
131,81.71527722551245,27.329872914332206
132,81.74288885835321,27.090195331046477
133,81.75707384420329,27.01082923601243
134,81.75707384420329,27.01082923601243
135,83.2889526691608,38.0
136,83.70001643394811,37.329769187388976
137,83.72818977471626,37.14933222612514
138,83.74507244700713,37.03374993443081
139,83.7926304596875,36.767557347851834
140,83.8072867995416,36.55277665942902
141,83.85929695153105,35.74656719361038
142,83.8657141656432,35.667976170108744
143,83.8708413130948,35.624520386135444
144,85.48973020198369,35.624520386135444
145,86.52667464642813,35.624520386135444
146,87.33667464642814,35.624520386135444
147,87.35397189141585,35.294601098299154
148,87.35452625678289,35.29094595039053
149,87.35593182353904,35.283475350584055
150,87.36735717206903,35.31860322685268
151,87.82339396750038,32.97606395342887
152,87.85074068260607,32.92377987163855
153,89.92990734927274,32.92377987163855
154,90.71046290482829,32.92377987163855
155,93.48740734927274,32.92377987163855
