slope_cat,mean_max_power,mean_min_power,mean_consumption_per_km
"(-10.0, -7.5]",-0.6196499999999998,-18.712699999999998,-0.24233335923738825
"(-2.5, 0.0]",15.454131054131063,-13.496532763532786,0.028215786685176616
"(-5.0, -2.5]",0.7631567164179102,-18.704865671641787,-0.13429674888084484
"(-7.5, -5.0]",-1.862808510638298,-21.605085106382973,-0.1996961067281302
"(0.0, 2.5]",22.813200000000005,-11.913757746478874,0.11107477972105954
"(2.5, 5.0]",39.016245714285716,-2.7132228571428567,0.2921579752601267
"(5.0, 7.5]",45.925824999999996,-6.9739249999999995,0.4042285720768531
"(7.5, 10.0]",45.827899999999985,-1.3135499999999998,0.5423287035464592
