slope_cat,mean_max_power,mean_min_power,mean_consumption_per_km
"(-10.0, -5.0]",2.639765714285714,-24.293385714285712,-273.6064046947349
"(-5.0, 0.0]",16.879773520249234,-18.812176012461073,-26.805637804594063
"(0.0, 5.0]",32.96568354430381,-14.210619620253157,215.4983448698295
"(5.0, 10.0]",47.8718,-12.054820689655173,611.5329084337493
