,slope_cat,mean_max_power,mean_std_power
0,"(-8.5, -5.1]",-0.043921852289828686,0.10997208485803835
1,"(-5.1, -1.7]",0.11816867801941722,0.12746559786839654
2,"(-1.7, 1.7]",0.42420858950119433,0.20081192961940617
3,"(1.7, 5.1]",0.7299589184803243,0.2832712096385062
4,"(5.1, 8.5]",0.7848800293399328,0.2662585126804882
