,num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_pot,prom_abs_pot,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,iqr_pot,mean_soc
11,0.0,0.0,1.0,1.0,0.1411111111111111,0.16478942792411033,0.0,0.0,1.0,1.0,0.255,0.2937260628544903,9.064031967406825,10.538555555555556,0.19999999999999574,1.3595962,0.14710249999227398,0.0,0.0,1.0,1.0,18.305555555555557,14.500577340570842,4.25919749136291,trunk,0.37904214444444445,38.45,0.53,0.26,17.879,67.0,61.0,5.07444578254611,10.72,95.0
12,0.0,0.0,1.0,1.0,0.07250000000000001,0.08803408430829504,0.0,0.0,1.0,1.0,0.08857142857142855,0.13075916481713037,7.29030731412435,8.544625,0.20000000000000284,1.3605949000000002,0.14699452423348258,0.0,0.0,1.0,1.0,23.392500000000002,11.036151673024433,1.4430779755598508,trunk,0.24730349999999998,34.6,0.3,0.15,11.712,73.0,65.75,4.166190448976482,4.356999999999999,94.625
13,0.0,0.0,1.0,1.0,0.18727272727272729,0.23021728866442678,0.0,0.0,1.0,1.0,0.268,0.3142546737918149,11.888045816653085,11.12418181818182,0.19999999999999574,1.3603094999999998,0.1470253644483081,0.0,0.0,1.0,1.0,14.337272727272726,15.7830486009673,4.959896789537339,trunk,0.5672226363636362,46.67,0.6799999999999999,0.34,14.171,72.0,60.54545454545455,8.513091522633083,20.03,94.0
14,0.0,0.0,1.0,1.0,0.10636363636363634,0.11691630120562019,0.0,0.0,1.0,1.0,0.15,0.18009997223764362,7.523737918379588,9.688636363636363,0.20000000000000284,1.3862911,0.14426984346938593,0.0,0.0,1.0,1.0,18.42,13.108692025201075,2.360875069810534,trunk,0.46347909090909095,34.75,0.35,0.23,17.184,63.0,57.54545454545455,3.7513633885198687,9.7395,93.0
15,0.0,0.0,1.0,1.0,0.15333333333333332,0.2655445139499005,0.0,0.0,1.0,1.0,0.25636363636363635,0.3695809554679842,18.840934864713823,16.274083333333337,0.10000000000000142,1.3208643127,0.07570800349325042,0.0,0.0,1.0,1.0,17.769166666666667,18.948368205175054,7.002956025827769,trunk,0.26611065,33.67,0.8200000000000001,0.13,14.094,77.0,60.5,7.267611837335688,26.645750000000003,92.0
16,0.0,0.0,1.0,1.0,0.081,0.10798611021793497,0.0,0.0,1.0,1.0,0.07444444444444444,0.12036980056845192,6.680523261691407,12.2433,0.19999999999999574,1.3385245,0.149418258687081,0.0,0.0,1.0,1.0,19.428,12.904192187037513,1.553275040050681,trunk,0.7219131,37.92,0.31,0.21,19.793,63.0,59.9,3.725288952252936,2.4274999999999984,91.3
17,0.0,0.0,1.0,1.0,0.09125,0.10409580923360941,0.0,0.0,1.0,1.0,0.12428571428571429,0.16974170052747553,13.515179604221878,15.047625,0.20000000000000284,1.4659380999999998,0.1364314086658931,0.0,0.0,1.0,1.0,30.10125,18.46050882119721,3.133518159912477,trunk,0.98596575,53.7,0.33999999999999997,0.19,20.063,67.0,62.375,4.565006649971686,12.833,90.875
18,0.0,0.0,1.0,1.0,0.0775,0.11191204383602132,0.0,0.0,1.0,1.0,0.15636363636363637,0.20339271137708528,7.15989594314517,5.720166666666667,0.0,1.3018434,0.0,0.0,0.0,1.0,1.0,6.7124999999999995,8.40396083039949,1.7093043796017733,trunk,-0.8670010833333333,16.07,0.36000000000000004,0.11,11.919,61.0,56.583333333333336,3.3698754585385804,7.99775,90.0
19,0.0,0.0,1.0,1.0,0.11416666666666668,0.15011800913503573,0.0,0.0,1.0,1.0,0.19181818181818186,0.23286217680943752,8.079898378417612,5.922833333333333,0.0,1.3221722000000002,0.0,0.0,0.0,1.0,1.0,9.071666666666667,11.423190958163426,2.6600291126278197,trunk,-0.41953424999999994,23.0,0.23,0.33,17.503,61.0,56.5,3.9427724440366254,7.785500000000001,90.0
20,0.0,0.0,1.0,1.0,0.11499999999999999,0.255770893574699,0.0,0.0,1.0,1.0,0.1457142857142857,0.2669097531498814,5.361452479272757,4.164249999999999,0.0,1.4575774000000001,0.0,0.0,0.0,1.0,1.0,11.42875,16.38894935429053,4.374370426539594,trunk_link,-0.5832422500000001,14.95,0.08,0.07,9.479,74.0,63.75,12.349089035228468,4.86575,89.875
21,0.0,0.0,1.0,1.0,0.15764705882352942,0.25612632047785033,0.0,0.0,1.0,1.0,0.256875,0.38585082528744186,5.622710766157334,4.3931764705882355,0.0,1.3062177000000001,0.0,0.0,0.0,1.0,1.0,9.968823529411765,14.141572031269046,5.456537239126967,trunk,-0.4841301176470588,27.78,0.79,0.43,12.255,59.0,51.470588235294116,5.938409373085771,4.596,89.0
