Z1;6.306794499;-75.58077549;Z9;6.278787346;-75.58198045;-1;-1
Z2;6.307167778;-75.5781712;Z9;6.278787346;-75.58198045;-1;-1
Z2;6.307167778;-75.5781712;Z146;6.259928033;-75.59415755;-1;-1
Z2;6.307167778;-75.5781712;Z363;6.266517867;-75.56474561;-1;-1
Z3;6.30058701;-75.57912704;Z9;6.278787346;-75.58198045;-1;-1
Z3;6.30058701;-75.57912704;Z44;6.317475515;-75.56146443;-1;-1
Z3;6.30058701;-75.57912704;Z45;6.280911409;-75.59025577;-1;-1
Z3;6.30058701;-75.57912704;Z84;6.216951102;-75.58180777;-1;-1
Z3;6.30058701;-75.57912704;Z102;6.244706872;-75.56728726;-1;-1
Z3;6.30058701;-75.57912704;Z120;6.281904031;-75.60343467;-1;-1
Z3;6.30058701;-75.57912704;Z155;6.310394056;-75.56687945;-1;-1
Z3;6.30058701;-75.57912704;Z192;6.248610526;-75.56927757;-1;-1
Z3;6.30058701;-75.57912704;Z201;6.292804273;-75.57674948;-1;-1
Z3;6.30058701;-75.57912704;Z247;6.241133166;-75.59511066;-1;-1
Z3;6.30058701;-75.57912704;Z353;6.307081208;-75.57470076;-1;-1
Z3;6.30058701;-75.57912704;Z367;6.254811852;-75.58178351;-1;-1
Z4;6.252234295;-75.62101156;Z4;6.252234295;-75.62101156;-1;-1
Z4;6.252234295;-75.62101156;Z9;6.278787346;-75.58198045;-1;-1
Z4;6.252234295;-75.62101156;Z129;6.245074196;-75.62258148;-1;-1
Z4;6.252234295;-75.62101156;Z192;6.248610526;-75.56927757;-1;-1
Z4;6.252234295;-75.62101156;Z282;6.25079617;-75.58413982;-1;-1
Z4;6.252234295;-75.62101156;Z365;6.245933173;-75.6051694;-1;-1
Z4;6.252234295;-75.62101156;Z386;6.242265516;-75.58950473;-1;-1
Z4;6.252234295;-75.62101156;Z397;6.252206427;-75.56169552;-1;-1
Z5;6.237880546;-75.54560691;Z34;6.242874134;-75.55421246;-1;-1
Z5;6.237880546;-75.54560691;Z73;6.246068219;-75.55978442;-1;-1
Z5;6.237880546;-75.54560691;Z98;6.244142941;-75.57372534;-1;-1
Z5;6.237880546;-75.54560691;Z132;6.244450832;-75.54553837;-1;-1
Z5;6.237880546;-75.54560691;Z138;6.256466661;-75.62761596;-1;-1
Z5;6.237880546;-75.54560691;Z192;6.248610526;-75.56927757;-1;-1
Z5;6.237880546;-75.54560691;Z193;6.247815642;-75.5640502;-1;-1
