id,distance,time,end_lat,end_lng,elevation
0,592,54,6.197407999999999,-75.57839299999999,1504.361572265625
1,1068,89,6.1883473,-75.58139080000001,1516.947387695312
2,1258,196,6.179530400000001,-75.5883357,1524.283447265625
3,517,54,6.175718499999999,-75.5910115,1530.078979492188
4,2068,207,6.162215,-75.6036872,1554.761840820312
5,256,33,6.1607899,-75.60524699999999,1561.392822265625
6,2292,310,6.1523618,-75.6238784,1595.588500976562
7,30,3,6.152333,-75.6241477,1595.821411132812
