id,latitude,longitude,elevation,x,timestamp,day,soc
1,6.1652809,-75.609969,1589.400024,2020-3-5-5,9:42:40,1
2,6.166169,-75.582076,1603,5,10:15:39,1
3,6.166169,-75.582076,1603,5,10:15:39,1
4,6.166169,-75.582076,1603,5,10:15:55,1
5,6.1662983,-75.5821215,1589,5,10:16:15,1
6,6.1662983,-75.5821215,0,5,10:16:24,1
7,6.1666377,-75.581895,1609.099976,5,10:16:25,1
8,6.1675157,-75.5819978,1607.300049,5,10:16:41,1
9,6.1681627,-75.581469,1605.099976,5,10:16:55,1
10,6.169022,-75.5819879,1604.300049,5,10:17:11,1
11,6.1696044,-75.5817723,1599.800049,5,10:17:25,1
12,6.1696611,-75.5816722,1571,5,10:17:44,1
13,6.1696611,-75.5816722,0,5,10:17:44,1
14,6.1696611,-75.5816722,1571,5,10:18:27,1
15,6.1696611,-75.5816722,1571,5,10:18:27,1
16,6.1696329,-75.5815239,1613,5,10:18:56,1
17,6.1696329,-75.5815239,1613,5,10:18:57,1
18,6.1696329,-75.5815239,1613,5,10:19:28,1
19,6.1696329,-75.5815239,1613,5,10:19:28,1
20,6.169698,-75.5815581,1599.300049,5,10:20:00,1
21,6.169698,-75.5815581,1599.300049,5,10:20:00,1
22,6.169878,-75.5814128,1618,5,10:20:24,1
23,6.1696266,-75.5814757,1610,5,10:21:06,1
24,6.1696266,-75.5814757,1610,5,10:21:06,1
25,6.1696266,-75.5814757,0,5,10:21:10,1
26,6.1696152,-75.5816341,1612,5,10:21:32,1
27,6.1696152,-75.5816341,1612,5,10:21:36,1
28,6.1696152,-75.5816341,1612,5,10:21:52,1
29,6.1699485,-75.5827462,1596.699951,5,10:22:07,1
30,6.1707613,-75.583152,1595,5,10:22:26,1
31,6.1708968,-75.5829212,1595.300049,5,10:22:37,1
32,6.1715101,-75.5816276,1591,5,10:22:53,1
33,6.1718851,-75.5805947,1588.900024,5,10:23:07,1
34,6.1721464,-75.5803361,1604,5,10:23:27,1
35,6.1719241,-75.5804649,1574,5,10:23:45,1
36,6.1719228,-75.5804568,1576,5,10:23:56,1
37,6.1719246,-75.5804548,1576,5,10:24:11,1
38,6.1719202,-75.5804413,1575,5,10:24:25,1
39,6.1720618,-75.5798277,1587.5,5,10:24:37,1
40,6.1709856,-75.579995,1595.099976,5,10:24:53,1
41,6.1700453,-75.5802256,1595.599976,5,10:25:07,1
42,6.1700453,-75.5802256,0,5,10:25:17,1
43,6.1700887,-75.5801756,1563,5,10:25:36,1
44,6.1700887,-75.5801756,1563,5,10:25:36,1
45,6.1701086,-75.5802509,1565,5,10:25:58,1
46,6.1701234,-75.5802782,1563,5,10:26:12,1
47,6.1701087,-75.5802278,1595.800049,5,10:26:22,1
48,6.1701318,-75.580252,1557,5,10:26:42,1
49,6.1701183,-75.5802253,1594.099976,5,10:27:08,1
50,6.1701183,-75.5802253,1594.099976,5,10:27:08,1
51,6.1700888,-75.5802598,1568,5,10:27:28,1
52,6.1700888,-75.5802598,0,5,10:27:30,1
53,6.1696965,-75.580103,1595.5,5,10:27:39,1
54,6.168986,-75.5793873,1600.800049,5,10:27:54,1
55,6.1682859,-75.5797824,1604.900024,5,10:28:10,1
56,6.168165,-75.5801815,1602.400024,5,10:28:24,1
57,6.1682581,-75.5803967,1628,5,10:28:53,1
58,6.1682581,-75.5803967,1628,5,10:28:53,1
59,6.1682485,-75.580396,1625,5,10:29:15,1
60,6.168001,-75.5805147,1606.400024,5,10:29:25,1
61,6.1664314,-75.5813038,1611.099976,5,10:29:39,1
62,6.1654698,-75.5819139,1616.300049,5,10:29:54,1
63,6.1645776,-75.5824618,1621.599976,5,10:30:10,1
64,6.1639712,-75.5828876,1625,5,10:30:24,1
65,6.1627767,-75.5828603,1669,5,10:30:49,1
66,6.1627767,-75.5828603,1669,5,10:30:53,1
67,6.1618634,-75.5821292,1633.699951,5,10:31:10,1
68,6.1611371,-75.5817437,1637.300049,5,10:31:24,1
69,6.160021,-75.5817506,1634.5,5,10:31:54,1
70,6.160021,-75.5817506,1634.5,5,10:31:54,1
71,6.160021,-75.5817506,0,5,10:32:16,1
72,6.1597734,-75.5815729,1574,5,10:32:57,1
73,6.1597734,-75.5815729,1574,5,10:32:57,1
74,6.1597734,-75.5815729,1574,5,10:33:13,1
75,6.1599497,-75.5820081,0,5,10:33:44,1
76,6.1599497,-75.5820081,0,5,10:33:44,1
77,6.1599244,-75.5820657,1641.800049,5,10:33:59,1
78,6.159927,-75.5818851,1632.599976,5,10:34:15,1
79,6.1596416,-75.5815672,1622,5,10:34:38,1
80,6.1596416,-75.5815672,1622,5,10:34:44,1
81,6.1601223,-75.581678,1647,5,10:35:02,1
82,6.1601531,-75.5816372,1649,5,10:35:19,1
83,6.1601531,-75.5816372,1649,5,10:35:30,1
84,6.16005,-75.5816875,1622,5,10:35:52,1
85,6.16005,-75.5816875,0,5,10:36:03,1
86,6.1599738,-75.5813962,1621,5,10:36:07,1
87,6.1599738,-75.5813962,1621,5,10:36:15,1
88,6.158751,-75.5809858,1651.300049,5,10:36:30,1
89,6.1576913,-75.5807831,0,5,10:36:46,1
90,6.1565994,-75.5805979,0,5,10:37:00,1
91,6.1551856,-75.5802123,0,5,10:37:16,1
92,6.1547792,-75.5801821,1674.400024,5,10:37:30,1
93,6.1544479,-75.5793318,1681,5,10:37:47,1
94,6.1538566,-75.5786512,0,5,10:38:00,1
95,6.1521837,-75.5761905,0,5,10:38:15,1
96,6.1521751,-75.5781349,0,5,10:38:31,1
97,6.1522523,-75.5780619,1705,5,10:38:47,1
