zone,name,latitude,longitude
108.0,COPACABANA_2675,6.3351554860000014,-75.52912646
109.0,COPACABANA_2676,6.356936634,-75.49360432
110.0,CORAZÓN DE JESÚS_0151,6.251546305,-75.57674247
111.0,CORAZÓN DE JESÚS_0152,6.248416107000001,-75.57756859
113.0,CORREGIMIENTO DE ALTAVISTA_2400,6.212144942999999,-75.62568813
115.0,CORREGIMIENTO DE SAN CRISTOBAL_2390,6.277863308,-75.63144358
116.0,CORREGIMIENTO DE SANTA ELENA_2430,6.234491902,-75.51725146
117.0,CRISTO REY_0791,6.205042958,-75.58270944
118.0,CRISTO REY_0792,6.208153809,-75.58825299
119.0,CUARTA BRIGADA - BATALLÓN CUARTA BRIGADA_1410,6.261840847,-75.58896406
120.0,CUCARACHO - PAJARITO_1520,6.281904031,-75.60343467
121.0,DIEGO ECHAVARRIA_0931,6.215608754,-75.59554289
122.0,DIEGO ECHAVARRIA_0932,6.211001761,-75.59866294
123.0,DOÑA MARIA DEL SUR_2990,6.1787165139999995,-75.59776163
126.0,EL CASTILLO_0704,6.189581494,-75.57186454
127.0,EL CHAGUALO_0130,6.261566125,-75.57095965
129.0,EL CORAZÓN - BETANIA_1200,6.245074196,-75.62258148
130.0,EL DIAMANTE  _1640,6.285389779,-75.58685313
131.0,EL DIAMANTE # 2_0760,6.18420984,-75.57454612
132.0,EL PINAL_0320,6.244450832,-75.54553837
133.0,EL POBLADO_0650,6.209229927999999,-75.5679003
134.0,EL POMAR_2170,6.268259248,-75.55237755
135.0,EL RAIZAL_2160,6.2692002160000015,-75.54550609
136.0,EL RINCÓN_0960,6.210401551,-75.60320899999998
137.0,EL RODEO_0940,6.205764896,-75.59385916
138.0,EL SALADO - EDUARDO SANTOS_1220,6.256466661,-75.62761596
139.0,EL SALVADOR_0460,6.237054022000001,-75.5619029
140.0,EL TESORO_0621,6.203016347,-75.5586112
141.0,EL TESORO_0622,6.202900967000001,-75.55300219
142.0,EL VELÓDROMO_1350,6.253482308,-75.59494008
143.0,ENCISO_0290,6.249067114,-75.55067802
144.0,ENVIGADO CENTRO_2820,6.168808592,-75.58666429
145.0,ESTACIÓN VILLA_0022,6.2556924920000005,-75.56912827
146.0,ESTADIO_1430,6.259928033,-75.59415755
148.0,FACULTAD DE MINAS_1550,6.27434663,-75.58911268
149.0,FÁTIMA_3050,6.182785269,-75.62158288
150.0,FÁTIMA_3710,6.238236937999999,-75.58521107
151.0,FÁTIMA_3720,6.235100292,-75.58378593
153.0,FÁTIMA_3740,6.234006367999999,-75.58617887
154.0,FERRINI_1450,6.267164219,-75.60031178
155.0,FLORENCIA_1882,6.310394056,-75.56687945
156.0,FLORIDA NUEVA_1360,6.2513971129999995,-75.59095472
157.0,FRANCISCO ANTONIO ZEA_1840,6.285922965,-75.5735376
158.0,FUENTE CLARA_1512,6.277488087999999,-75.6051198
159.0,GERONA_0450,6.238338002000001,-75.55883521
160.0,GIRARDOT_1870,6.297569692000001,-75.56900732
161.0,GIRARDOTA_2701,6.378055699,-75.45015027
163.0,GIRARDOTA_2703,6.371685951,-75.44695707
164.0,GIRARDOTA_2704,6.38429893,-75.44915814
166.0,GIRARDOTA_2706,6.385677268999999,-75.44029128
167.0,GIRARDOTA_2707,6.406775398,-75.46045189
168.0,GIRARDOTA_2708,6.3590222339999976,-75.43804564
169.0,GRANADA_3850,6.230189191,-75.59217436
170.0,GRANADA_3860,6.230086399,-75.59476991
171.0,GRANIZAL_2300,6.2919157,-75.54459072
174.0,GUAYABAL_0780,6.198358408,-75.58523229
175.0,GUAYAQUIL_0040,6.248494015,-75.57350522
176.0,GUAYAQUIL_0050,6.246243664,-75.57082407
177.0,HOSPITAL SAN VICENTE DE PAUL_0110,6.262893912999999,-75.56518472
178.0,JARDÍN BOTÁNICO_2081,6.27052946,-75.56359359
179.0,JESÚS NAZARENO_0021,6.258403873,-75.56848217
180.0,JESÚS NAZARENO_0120,6.260781743,-75.56680745
181.0,JUAN PABLO SEGUNDO_0821,6.219293802999999,-75.59009427
183.0,JUAN XXIII - LA QUIEBRA_1270,6.265200275,-75.61241835
184.0,KENEDY_1770,6.288834412999999,-75.58249335
185.0,LA AGUACATALA_0691,6.199349098,-75.5791209
186.0,LA AGUACATALA_0692,6.198142418,-75.57637966
187.0,LA ALPUJARRA_0161,6.2451629660000005,-75.57786157
189.0,LA AMÉRICA_1330,6.251646192999999,-75.60455055
191.0,LA CANDELARIA_0011,6.251931108,-75.56773936
192.0,LA CANDELARIA_0012,6.248610526,-75.56927757
193.0,LA CANDELARIA_0071,6.247815642000001,-75.5640502
194.0,LA CANDELARIA_0072,6.249419067000001,-75.56584419
196.0,LA CATELLANA_1062,6.240586259,-75.60551764
197.0,LA COLINA_0951,6.199161865,-75.59309908
200.0,LA ESPERANZA # 2_3530,6.291209512000001,-75.54170451
201.0,LA ESPERANZA_1760,6.292804273,-75.57674948
202.0,LA FLORESTA_1320,6.256319624,-75.60158821
203.0,LA FLORIDA_0641,6.204776832,-75.56824047
204.0,LA FLORIDA_0642,6.204555034,-75.56310353
206.0,LA FRANCIA_3330,6.299207759,-75.55090559
207.0,LA FRANCIA_3350,6.301440778,-75.55554525
208.0,LA GLORIA - ALTAVISTA_0990,6.221941509,-75.60860461
209.0,LA GLORIA_0980,6.223341987,-75.60195049
210.0,LA HONDONADA_0952,6.203417455,-75.60309314
213.0,LA LADERA_0280,6.254273006,-75.54776474
214.0,LA LIBERTAD - VILLATINA- SAN ANTONIO_0390,6.2386039339999995,-75.54005437
215.0,LA LOMA_3150,6.29085762,-75.640323
216.0,LA MANSIÓN_0260,6.259222086,-75.55576549
217.0,LA MINA_2840,6.160975347999999,-75.58563794
218.0,LA PALMA_3790,6.230297215,-75.60215788
219.0,LA PALMA_3800,6.228099585,-75.60205719
220.0,LA PALMA_3810,6.228675474,-75.60472482
221.0,LA PAZ_2830,6.16157605,-75.59181366
222.0,LA PILARICA_1620,6.276331242,-75.58556721
223.0,LA PINUELA_2040,6.281348181,-75.55596361
224.0,LA PRADERA_1280,6.260863996,-75.61091737
225.0,LA ROSA_2011,6.290807182999999,-75.55929355
226.0,LA SALLE_2250,6.283712544,-75.54652074
227.0,LA SALLE_2260,6.283636759,-75.55106393
